username,time,tweet
CrownUncrowned,2018-09-01 21:04:48,The boysh 2016
CrownUncrowned,2018-08-28 12:34:26,I hope Dabuz accidentally mains a beloved character like Ike and makes everyone hate them
CrownUncrowned,2018-08-26 23:22:28,OG winning TI and Zain winning shine is the reason i can sleep tonight
CrownUncrowned,2018-08-26 23:17:18,Daisy is the ratchet one. I need to play her.  https://twitter.com/sbpoapipi/status/1033327892925542400 ...
CrownUncrowned,2018-08-26 23:06:55,@CrownUncrowned is my shitposter spirit animal
CrownUncrowned,2018-08-26 22:25:06,Can I get some #TeamDizzy and #TeamMortem
CrownUncrowned,2018-08-26 21:22:17,YEET
CrownUncrowned,2018-08-26 21:15:13,me
CrownUncrowned,2018-08-26 21:12:19,Who else is hyped for that Mortem vs Dizzy runback GRUDGE MATCH ON ICE IN 4K HD BEST QUALITY (MUST SEE) winner takes all vine compilation worldstarhiphop (GONE SEXUAL) despacito REMIX
CrownUncrowned,2018-08-25 21:02:18,Welp out at some shitty place at Shine got Bayoed by Mistake multiple times into Mkleo Cloud in losers. This game is too depressing to play nowadays.
CrownUncrowned,2018-08-23 11:00:26,If Wolf doesn't shout out his boy Raul during his up smash in Ultimate I'm not touching him
CrownUncrowned,2018-08-21 18:51:36,@CrownUncrowned Ive never even seen u in person
CrownUncrowned,2018-08-16 00:50:52,When you Counterpick Lylat and then get lylat'dpic.twitter.com/2bQD0RBIA9
CrownUncrowned,2018-08-14 21:30:14,Soon
CrownUncrowned,2018-08-14 17:25:21,"when people say ""just buff the low tiers"" the first thing that goes through my head is if everyone's sour spots were as strong as cloud's sour spot dair. people would start singing a different tune real quick if roy started blowing you up no matter what part of the sword he used"
CrownUncrowned,2018-08-11 15:41:12,Lost 0-2 to a Bayo in pools died at 40 on the ground on battlefield because the character is bullshit and just does that when she wants to
CrownUncrowned,2018-08-10 21:20:30,Shrimp God Mamoru
CrownUncrowned,2018-08-10 13:51:56,Palutena
CrownUncrowned,2018-08-08 13:49:27,holy shit clouds nair doesnt come below his feet you cloud niggas are donepic.twitter.com/4yq1tdZnuu
CrownUncrowned,2018-08-08 10:38:37,pic.twitter.com/KxkBSv0reY
CrownUncrowned,2018-08-08 11:14:22,King K. Rool wears a crown  but DARK HELMET 
CrownUncrowned,2018-08-08 10:43:21,The thing that got me the most excited for today is the crew battle mode tbh. I'd rather have that replace doubles at tournaments fuck doubles LOL.
CrownUncrowned,2018-08-07 13:49:14,Dragon Ball FighterZ Becomes Evo's Highest Watched Game Ever on Twitch  http://www.githyp.com/dragon-ball-fighterz-becomes-evos-highest-watched-game-ever-on-twitch/ ...pic.twitter.com/igAoYbFKhH
CrownUncrowned,2018-08-06 12:47:52,Hot take: Ultimate will fix almost everything wrong with Smash 4 
CrownUncrowned,2018-08-05 02:20:46,Lmao how did all these IDIOTS at EVO let 3 Bayos make top 8? Just SDI 
CrownUncrowned,2018-07-30 02:39:43,Most people hate to hear this but the biggest problem with Smash 4 was that they stopped patching too soon and we were left with a game that desperately needed some changes.I really hope this doesn't happen in Ultimate and that Nintendo continues to be receptive to feedback.
CrownUncrowned,2018-07-31 01:29:02,after many hours of research we have finally found the answer to puffpic.twitter.com/RQ8hutOqgf
CrownUncrowned,2018-07-29 21:40:03,"@CrownUncrowned Defensive vanish. Now that the game is finally on its last legs maybe someone will capitalize on your ""run up vanish"" advanced tech"
CrownUncrowned,2018-07-27 15:17:02,So I've been watching this anime...pic.twitter.com/addzubEPz6
CrownUncrowned,2018-07-26 20:28:54,Is it possible to become so washed that you become clean? 
CrownUncrowned,2018-07-26 20:19:25,Don't let me catch you playing Daisy in SSBU if you haven't listened to this in it's entirety https://www.youtube.com/watch?v=e1HmxJjfSxY ...
CrownUncrowned,2014-04-07 18:25:52,Russell Westbrook
CrownUncrowned,2018-07-24 21:47:16,When she deletes her boyfriend's name from her biopic.twitter.com/3SB9UiKBCo
CrownUncrowned,2018-07-24 23:59:08,How much I wanna play different SSBU characters.pic.twitter.com/MdbVyBW7KT
CrownUncrowned,2018-07-22 21:18:27,"Where's Mario?""Fuck Mario""pic.twitter.com/GtYX8ngKZI"
CrownUncrowned,2018-07-21 13:27:55,"If you haven't seen the Teen Titans Movie trailer yet here's a synopsisStarfire: ""why am I not orange""Raven: ""i-i just don't *sobs* know what to d-do *SCREEAAMS* i'm so weak and not in control h-help!""Cyborg: ""why am I not here""Robin: ""FUCK batman"" *dabs on them haters*"
CrownUncrowned,2018-07-21 01:02:53,I would also like to make it known that @CrownUncrowned beat my Mii Brawler with his Olimar.PGR when? Helmet is the true best Olimar in the 6ix.
CrownUncrowned,2018-07-20 13:35:05,I've never wanted to be one of those players with an insane amount of tech-skill with a terrible neutral so I never hit the lab. Now I'm a player with no tech AND no neutral
CrownUncrowned,2018-07-15 00:32:10,Had fun playing a low tier iron man yesterday with @Mamoru_SSB. Doc colours iron man next? 
CrownUncrowned,2018-07-14 20:11:00,I dont mind the rosa is underrated train but if you are putting her above sheik you're not playing the same game.And if you start dropping diddy you're a goldfish
CrownUncrowned,2018-06-24 22:47:43,You're not a real Rosa player unless you throw important sets with that SD Dabuz just did.
