username,time,tweet
realDonaldTrump,2018-10-17 13:29:30,pic.twitter.com/afqHydsMB5
realDonaldTrump,2018-10-17 13:18:53,"""President Donald J. Trump is Following Through on His Promise to Cut Burdensome Red Tape and Unleash the American Economy""Read more:  https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-following-promise-cut-burdensome-red-tape-unleash-american-economy/ ...pic.twitter.com/zF8fEsw3in"
realDonaldTrump,2018-10-17 05:15:01,You can cast your ballot before Election Day in:KSNCTNGet out and vote   http://gop.cm/6016r7aje pic.twitter.com/bxkCMApisn
realDonaldTrump,2018-10-17 05:00:01,TODAY is the LAST day to register to vote in Massachusetts and Wisconsin!Register today   http://gop.cm/6014r7awn pic.twitter.com/308qXI1Zg5
realDonaldTrump,2018-10-16 22:39:24,Stock Market up 548 points today. Also GREAT jobs numbers!
realDonaldTrump,2018-10-16 22:36:30,Elizabeth Warren is being hammered even by the Left. Her false claim of Indian heritage is only selling to VERY LOW I.Q. individuals!
realDonaldTrump,2018-10-16 21:24:30,Anybody entering the United States illegally will be arrested and detained prior to being sent back to their country!
realDonaldTrump,2018-10-16 21:19:20,We have today informed the countries of Honduras Guatemala and El Salvador that if they allow their citizens or others to journey through their borders and up to the United States with the intention of entering our country illegally all payments made to them will STOP (END)!
realDonaldTrump,2018-10-16 19:43:42,I will be interviewed tonight by Trish Regan on @FoxBusiness at 8:00 P.M. right after the great Lou Dobbs!
realDonaldTrump,2018-10-16 18:29:48,TONIGHT: @POTUS talks 2020 election in an exclusive interview with @trish_regan. Don't miss the full interview on 'Trish Regan Primetime' at 8p ET on Fox Business Network.pic.twitter.com/Uq6qPYyacc
realDonaldTrump,2018-10-16 14:50:54,WOW John James is making headway in Michigan. We are bringing jobs back to the State and the People of Michigan appreciate it. Debbie Stabenow has been no help if anything a major hindrance. John James is a star I hope the voters see it. Polls are tightening!
realDonaldTrump,2018-10-16 14:40:19,...during the call and told me that he has already started and will rapidly expand a full and complete investigation into this matter. Answers will be forthcoming shortly.
realDonaldTrump,2018-10-16 14:40:18,Just spoke with the Crown Prince of Saudi Arabia who totally denied any knowledge of what took place in their Turkish Consulate. He was with Secretary of State Mike Pompeo...
realDonaldTrump,2018-10-16 12:22:11,REGISTER TO  http://Vote.GOP ! #MAGAhttps://twitter.com/erictrump/status/1052174007708147714 ...
realDonaldTrump,2018-10-16 11:14:16,pic.twitter.com/RNqLpOtS3O
