username,time,tweet
wespiser,2016-11-28 11:05:49,Write You A Scheme Version 2: New and improved for the rigors of modern industry!  https://wespiser.com/writings/wyas/home.html .... #haskell #scheme
wespiser,2016-11-20 21:35:01,World class trolling before it was a thing. By the ever-witty Brits. Of course.pic.twitter.com/wc4x7A9TbT
wespiser,2016-11-15 23:45:44,RDF for Haskell great work!!!  http://robstewart57.github.io/rdf4h/ 
wespiser,2016-11-02 08:44:47,From Per Martin-Lof's 1985 paper @splashconpic.twitter.com/SirDtU68vd
wespiser,2016-11-06 14:03:51,Depending on huge transitive dependency trees is a form of technical debt when upstream libraries become unmaintained or undocumented.
wespiser,2016-11-02 16:37:40,Spent the last two months think no one cared about parsers...glad to see thats not that case!  https://arxiv.org/abs/1611.00020 
wespiser,2016-10-17 15:37:30,Strict `sum` and `product` by default. Yay or nay? https://github.com/sdiehl/protolude/pull/26 ...
wespiser,2016-08-31 17:03:48,"Pro tip: when interviewing someone for a ""data science"" position use the term ""frequency"" correctly. #wordsmatter #math"
wespiser,2016-08-30 19:40:03,One Year of @rustlang. My thoughts and musings on my own accomplishments and the community as a whole http://mgattozzi.github.io/2016/08/30/1-year-of-rust.html ...
wespiser,2016-08-21 00:54:39,The war being fought in your browser's DOM between your adblocker and the adserver is fascinating: https://www.whitehatsec.com/blog/the-ad-blocking-wars-ad-blockers-vs-ad-tech/ ...
wespiser,2016-08-15 03:19:56,OOP is when you take perfectly fine functions and stuff them into needlessly stateful objects because of theatrics.
wespiser,2016-08-11 12:59:24,Your daily dose of the near Orwellian future:  http://nyti.ms/2ays4c9 
wespiser,2016-08-09 22:04:43,Congrats to the Snap team on 1.0 release!  http://snapframework.com/blog/2016/08/07/snap-1.0-released ... #haskell
wespiser,2016-08-06 20:08:51,This used to be a munition and couldn't be put online says @ncardozo. Everyone pulls out their phones to tweet it.pic.twitter.com/XoHv213l4r
wespiser,2016-07-22 14:31:15,The standard normal probability density is its own Fourier transform.
wespiser,2016-07-12 19:23:12,"I am rather alarmed by the fact that official instructions for nodejs installs consist of ""curl ... | sh"" Once again ""don't think too hard"""
wespiser,2016-06-02 09:27:14,"""The problem is much harder than I thought it would be. Big data alone isn't going to save us."" http://www.theatlantic.com/science/archive/2016/06/can-neuroscience-understand-donkey-kong-let-alone-a-brain/485177/ ..."
wespiser,2016-05-27 09:09:00,#JPEG #TheDefinitiveGuidepic.twitter.com/s4Xp9eAfJw
wespiser,2016-04-28 06:44:52,Dutch starvation during WW2 https://twitter.com/Point_Mutation/status/725517442416447488 ...
wespiser,2016-04-28 06:42:30,we need to be doing better which Bayes was the solution to thinking hard about things... https://twitter.com/hildabast/status/724621775670251520 ...
wespiser,2016-04-28 06:37:57,#haskell what would be the best approach to build a plotting b on the same order of magnitude as R's ggolot2?
wespiser,2016-03-31 13:30:07,It's taken months of learning #haskell to understand type-level programming besides Servant are there any other production level examples?
wespiser,2016-03-28 21:18:13,Q: How difficult is it to contribute to a Haskell code base? To replace Haskell talent when someone leaves?A: https://www.youtube.com/watch?v=R4nLSxCKkNw&feature=youtu.be&t=34m38s ...
wespiser,2016-03-20 01:27:53,If you've ever wanted a pure Haskell way to generate textual IR from llvm-general-pure have a prototype going: https://github.com/sdiehl/llvm-pp 
wespiser,2016-03-19 23:24:03,Maybe by 2025 we can finally jettison the last vestige of 1960's style non-structured programming: non-local control flow with exceptions.
wespiser,2016-02-05 18:37:10,In other #Haskell news I've been working on an FKS-based static dictionary library.  It's done and starts to beat IntMap at 1000s of ents.
wespiser,2016-02-18 17:49:25,If you work in tech in Boston there's pretty much no reason to ever sign a non-compete. It forces talent away.  http://techcrunch.com/2016/02/18/silicon-valley-keeps-winning-because-non-competes-limit-innovation/ ...
wespiser,2016-02-02 15:01:40,Haskell SQL libraries: endless boilerplate opaque metaprogramming or wall of 15 language exts and no inference. Pick two.
wespiser,2016-02-15 10:22:34,Currently coordinating with Chlipala to plan PL/Type Theory events. #PL #TypeTheory
wespiser,2016-02-05 19:32:15,memory tweeps: in our species' history space & time have never been dissociated; so why would we evolve nonoverlapping circuits for each?
wespiser,2016-01-30 18:30:06,New blog post on editor tooling: Vim and Haskell in 2016 http://www.stephendiehl.com/posts/vim_2016.html ...
wespiser,2016-01-26 07:27:31,"Is there any better compliment for a statistician than to be called ""Sensible"" by a respected colleague?"
wespiser,2016-01-25 10:03:48,What's the equivalent term of obscurantist prose but for academic code? Think this term needs to exist.
wespiser,2015-12-30 12:52:14,A Practical Introduction to Haskell GADTs by Richard Eisenberg https://www.youtube.com/watch?v=6snteFntvjM ...
wespiser,2016-01-22 13:10:40,"A 90s classic:""@benjamingb: Why Functional Programming Matters https://www.cs.kent.ac.uk/people/staff/dat/miranda/whyfp90.pdf ...#haskell #clojure #erlang #scheme #lisp"""
wespiser,2016-01-22 02:02:20,really cool #haskell library showing off interpretation strategies:  https://github.com/luqui/vatican 
wespiser,2016-01-21 23:21:29,The real research parasite in the university is the individual who feeds on the research of others who are under him  http://www.ganino.com/games/Science/science%20magazine%201964-1965/root/data/Science%201964-1965/pdf/1965_v149_n3686/1716027.pdf ...
wespiser,2016-01-19 14:38:40,data modelling in #Excell or spreadsheets is like eating yogurt with chopsticks...
wespiser,2016-01-18 22:24:58,It's nice to see some #haskell code call back to my origins in biology... http://savinaroja.github.io/2016/01/11/haskell-meets-the-central-dogma/ ...
wespiser,2016-01-17 15:58:09,Drawing Trees w/ Haskell:  http://fhtr.blogspot.com/2008/12/drawing-tree-with-haskell-and-cairo.html ...
wespiser,2016-01-16 01:16:42,"""Why Wikipedia might be the most important invention ever""  http://fusion.net/story/256371/wikipedia-15-years-old/ ...pic.twitter.com/fiiw2kUZeg"
wespiser,2016-01-15 15:56:12,An interesting statically typed Lisp language in Haskell.  http://oden-lang.org/index.html  /ht @owickstrom
wespiser,2016-01-14 13:38:43, http://zinkov.com/posts/2016-01-12-indentation-sensitive-parsing/ ... Indentation sensitive parsing the easy way #Haskell
wespiser,2016-01-04 10:56:07,New blog post on JIT compilation: Monads to Machine Code http://www.stephendiehl.com/posts/monads_machine_code.html ...
wespiser,2016-01-05 03:58:16,I'm speaking at Compose Conf 2016 about native GUIs in #haskell!  http://www.composeconference.org/2016/speakers/ 
wespiser,2016-01-06 13:44:39,The HaskellR project  http://tweag.github.io/HaskellR/  HT @JohnDCook #haskell #rstats #coding #datascience
wespiser,2016-01-09 15:16:19,Looks like MIT is teaching from the right books for programming language courses.pic.twitter.com/tiULs5o4Wg
wespiser,2015-10-18 04:52:29,PILOT OVER INTERCOM: alright folks by a show of hands who has ever made a small and understandable mistake?
wespiser,2015-12-30 22:17:13,"can't unbreak account I created at   https://step.state.gov   ""Server Error in '/STEP' Application. Object reference not set to an instance"""
wespiser,2015-12-06 22:16:27,Paper on the math behind Quantile Factor Models  http://www.chenliangoxford.com/uploads/2/3/3/0/23304548/qfm.pdf ...
wespiser,2015-11-23 09:17:39,wonderful book! https://twitter.com/smdiehl/status/667494376235364352 ...
wespiser,2015-11-03 12:53:42,Ramen at Santouka in Cambridge.pic.twitter.com/gxwpVpngQz
wespiser,2015-09-04 07:52:52,cool article on Bayesian Regression! http://www.r-bloggers.com/bayesian-regression-models-using-stan-in-r/ ...
